key,tip_label,scientific,order,family,primary_lifestyle,dim_proxy,dim_bin,hwi,dichromatism,male_plumage,female_plumage,spur_hi,marc_poly,marc_lek,lislevand,english_name,mating_system,display_num,resource,harem,lek,polyandry,ssd_mass,ssd_tarsus,ssd_wing,ssd_tail,ssd_bill,body_mass_mean,body_size_log
accipiter albogularis,Accipiter_albogularis,Accipiter albogularis,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,33.9,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.75,5.516448376038702
accipiter badius,Accipiter_badius,Accipiter badius,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,32.9,NA,NA,NA,NA,0,0,TRUE,Shikra,NA,5,NA,NA,NA,NA,NA,NA,-0.10477895123317689,-0.18571714579509283,NA,131.15,4.876341706312883
accipiter bicolor,Accipiter_bicolor,Accipiter bicolor,Accipitriformes,Accipitridae,Generalist,intermediate,NA,19.8,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.54,5.661361980994447
accipiter brachyurus,Accipiter_brachyurus,Accipiter brachyurus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,31.7,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,4.955827057601261
accipiter brevipes,Accipiter_brevipes,Accipiter brevipes,Accipitriformes,Accipitridae,Generalist,intermediate,NA,40.2,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.48,5.228323994727502
accipiter butleri,Accipiter_butleri,Accipiter butleri,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,25.8,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,4.804021044733257
accipiter castanilius,Accipiter_castanilius,Accipiter castanilius,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,24,NA,NA,NA,NA,0,0,TRUE,Chestnut-flanked Sparrowhawk,NA,NA,NA,NA,NA,NA,-0.21114199532944652,NA,-0.1217306453046817,-0.18169479400314548,NA,159.25,5.070475294452272
accipiter chilensis,Accipiter_chilensis,Accipiter chilensis,Accipitriformes,Accipitridae,Generalist,intermediate,NA,30.6,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,5.908082938168931
accipiter chionogaster,Accipiter_chionogaster,Accipiter chionogaster,Accipitriformes,Accipitridae,Generalist,intermediate,NA,32.7,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.6,4.8721392168423305
accipiter cirrocephalus,Accipiter_cirrocephalus,Accipiter cirrocephalus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,37.8,NA,NA,NA,NA,0,0,TRUE,Collared Sparrowhawk,2,4,0,0,0,0,-0.5826053061601215,NA,-0.11990392722552104,-0.13102826240640414,NA,180,5.19295685089021
accipiter collaris,Accipiter_collaris,Accipiter collaris,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,30,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,4.582924577040772
accipiter cooperii,Accipiter_cooperii,Accipiter cooperii,Accipitriformes,Accipitridae,Aerial,more_3D,3D,32.3,NA,NA,NA,NA,0,0,TRUE,Cooper's Hawk,NA,3,1,NA,NA,NA,-0.30691343437966845,NA,-0.050572573635632334,NA,NA,121.5,4.799914262780603
accipiter erythrauchen,Accipiter_erythrauchen,Accipiter erythrauchen,Accipitriformes,Accipitridae,Generalist,intermediate,NA,30.8,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,5.049856007249537
accipiter erythronemius,Accipiter_erythronemius,Accipiter erythronemius,Accipitriformes,Accipitridae,Generalist,intermediate,NA,29,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,4.8283137373023015
accipiter erythropus,Accipiter_erythropus,Accipiter erythropus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,27.1,NA,NA,NA,NA,0,0,TRUE,Red-thighed Sparrowhawk,NA,NA,NA,NA,NA,NA,NA,NA,-0.08392018441995697,0,NA,111.2,4.711330381816482
accipiter fasciatus,Accipiter_fasciatus,Accipiter fasciatus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,38.3,NA,NA,NA,NA,0,0,TRUE,Brown Goshawk,2,4,1,0,0,0,-0.5090057870490047,NA,-0.13447791422855346,-0.1597924437339264,NA,439.5,6.085637717125231
accipiter francesiae,Accipiter_francesiae,Accipiter francesiae,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,27.8,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.82,4.918666193332852
accipiter gentilis,Accipiter_gentilis,Accipiter gentilis,Accipitriformes,Accipitridae,Generalist,intermediate,NA,36.3,NA,NA,NA,NA,0,0,TRUE,Northern Goshawk,2,5,1,0,0,0,-0.4707056299765653,NA,-0.11990392722552104,-0.13800567301944372,NA,926,6.8308742346461795
accipiter griseiceps,Accipiter_griseiceps,Accipiter griseiceps,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,26.8,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.76,5.5284762527561515
accipiter gularis,Accipiter_gularis,Accipiter gularis,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,33.2,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.66,4.792976673012616
accipiter gundlachi,Accipiter_gundlachi,Accipiter gundlachi,Accipitriformes,Accipitridae,Aerial,more_3D,3D,27.1,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,6.51471269087253
accipiter haplochrous,Accipiter_haplochrous,Accipiter haplochrous,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,32.7,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.41,5.290335596806379
accipiter henicogrammus,Accipiter_henicogrammus,Accipiter henicogrammus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,31.1,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.7,5.882486384538237
accipiter henstii,Accipiter_henstii,Accipiter henstii,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,27,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,6.956545443151569
accipiter imitator,Accipiter_imitator,Accipiter imitator,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,30,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.49,5.4048821567760665
accipiter luteoschistaceus,Accipiter_luteoschistaceus,Accipiter luteoschistaceus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,30.3,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,5.365976015021851
accipiter madagascariensis,Accipiter_madagascariensis,Accipiter madagascariensis,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,28.7,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.41,5.195232038464711
accipiter melanochlamys,Accipiter_melanochlamys,Accipiter melanochlamys,Accipitriformes,Accipitridae,Generalist,intermediate,NA,32.4,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,5.579729825986222
accipiter melanoleucus,Accipiter_melanoleucus,Accipiter melanoleucus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,35,NA,NA,NA,NA,0,0,TRUE,Black Goshawk,NA,4,NA,NA,NA,NA,-0.45281122870536267,NA,-0.148242243141092,NA,NA,707.5,6.561737629517393
accipiter meyerianus,Accipiter_meyerianus,Accipiter meyerianus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,33,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763.54,6.637965513594156
accipiter minullus,Accipiter_minullus,Accipiter minullus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,29.6,NA,NA,NA,NA,0,0,TRUE,Little Sparrowhawk,NA,NA,NA,NA,NA,NA,NA,NA,-0.12014431184206321,NA,NA,80.9,4.393213824064446
accipiter nanus,Accipiter_nanus,Accipiter nanus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,29.5,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,4.762173934797756
accipiter nisus,Accipiter_nisus,Accipiter nisus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,35.5,NA,NA,NA,NA,0,0,TRUE,Eurasian Sparrowhawk,2,4,1,0,0,0,-0.6592456288842639,NA,-0.17055671521436827,-0.1890105449447513,NA,220,5.393627546352362
accipiter novaehollandiae,Accipiter_novaehollandiae,Accipiter novaehollandiae,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,30,NA,NA,NA,NA,0,0,TRUE,Grey Goshawk,2,NA,NA,0,0,0,-0.7043204811580704,NA,-0.19276551595503788,NA,NA,538,6.2878585601617845
accipiter ovampensis,Accipiter_ovampensis,Accipiter ovampensis,Accipitriformes,Accipitridae,Aerial,more_3D,3D,38.4,NA,NA,NA,NA,0,0,TRUE,Ovampo Sparrowhawk,NA,NA,NA,NA,NA,NA,-0.6190392084062235,NA,NA,-0.17095779814363954,NA,200,5.298317366548036
accipiter poliocephalus,Accipiter_poliocephalus,Accipiter poliocephalus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,32.1,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.76,5.3695211255543684
accipiter poliogaster,Accipiter_poliogaster,Accipiter poliogaster,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,29.6,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,5.752572638825633
accipiter princeps,Accipiter_princeps,Accipiter princeps,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,29.2,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.8,5.36970736263471
accipiter rhodogaster,Accipiter_rhodogaster,Accipiter rhodogaster,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,29.7,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.71,5.151613887355828
accipiter rufitorques,Accipiter_rufitorques,Accipiter rufitorques,Accipitriformes,Accipitridae,Generalist,intermediate,NA,34.1,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,5.342334251964811
accipiter rufiventris,Accipiter_rufiventris,Accipiter rufiventris,Accipitriformes,Accipitridae,Aerial,more_3D,3D,38.1,NA,NA,NA,NA,0,0,TRUE,Rufous-chested Sparrowhawk,NA,NA,NA,NA,NA,NA,NA,NA,-0.0936094991223075,-0.16802425209313016,NA,198,5.288267030694535
accipiter soloensis,Accipiter_soloensis,Accipiter soloensis,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,39,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.77,5.10455056206934
accipiter striatus,Accipiter_striatus,Accipiter striatus,Accipitriformes,Accipitridae,Aerial,more_3D,3D,32.5,NA,NA,NA,0,0,0,TRUE,Sharp-shinned Hawk,NA,5,1,NA,NA,NA,-0.5243263109848932,NA,-0.17154242253912752,-0.2068780400364848,NA,138.5,4.930870325627393
accipiter superciliosus,Accipiter_superciliosus,Accipiter superciliosus,Accipitriformes,Accipitridae,Aerial,more_3D,3D,26.9,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.38,4.5682987112121864
accipiter tachiro,Accipiter_tachiro,Accipiter tachiro,Accipitriformes,Accipitridae,Aerial,more_3D,3D,25.7,NA,NA,NA,NA,0,0,TRUE,African Goshawk,NA,NA,NA,NA,NA,NA,-0.4754236967150748,NA,-0.15280206195596474,NA,NA,300,5.703782474656201
accipiter toussenelii,Accipiter_toussenelii,Accipiter toussenelii,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,24.4,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.29,5.518616877410511
accipiter trinotatus,Accipiter_trinotatus,Accipiter trinotatus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,27.2,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,4.983606621708336
accipiter trivirgatus,Accipiter_trivirgatus,Accipiter trivirgatus,Accipitriformes,Accipitridae,Insessorial,more_3D,3D,23,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.04,5.57988075799164
accipiter ventralis,Accipiter_ventralis,Accipiter ventralis,Accipitriformes,Accipitridae,Generalist,intermediate,NA,28.8,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,5.4510384535657
accipiter virgatus,Accipiter_virgatus,Accipiter virgatus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,27.4,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.99,4.76208846105951
aegypius monachus,Aegypius_monachus,Aegypius monachus,Accipitriformes,Accipitridae,Terrestrial,more_2D,2D,41.1,NA,NA,NA,NA,0,0,TRUE,Cinereous Vulture,NA,5,NA,NA,NA,NA,-0.0779615414697118,NA,-0.03312404742503265,-0.04290202154420946,NA,9625,9.172119159155985
aquila adalberti,Aquila_adalberti,Aquila adalberti,Accipitriformes,Accipitridae,Generalist,intermediate,NA,39.7,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2958.03,7.992278785207145
aquila africanus,Aquila_africanus,Aquila africanus,Accipitriformes,Accipitridae,Generalist,intermediate,NA,27.4,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047,6.953684210870537
aquila audax,Aquila_audax,Aquila audax,Accipitriformes,Accipitridae,Generalist,intermediate,NA,39.6,NA,NA,NA,NA,0,0,TRUE,Wedge-tailed Eagle,2,4,1,0,0,0,-0.19659618458654782,NA,-0.08762226357551607,NA,NA,3470,8.151909872940905
